ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT,O U P
389,7/2021,7,3,17,82,145.9,2488,158.68,2700,16,43200,-12.78
389,8/2021,8,3,11,61,1208.2,20100,427.26,7200,29.5,94050,780.94
389,9/2021,9,3,11,61,1200.6,19900,270.71,4500,25.5,60300,929.89
389,10/2021,10,3,11,61,1234.4,20300,433.684,7200,46,75600,800.716
389,11/2021,11,3,11,61,285,4550,325.21,5400,40.5,62100,-40.21
389,12/2021,12,3,11,62,188.3,2850,111.8,1800,17.5,31500,76.5
389,1/2022,1,4,,,88.1,1350,,,,,88.1
389,2/2022,2,4,11,62,,,600.392,9900,64,157050,-600.392
389,3/2022,3,4,17,82,45,600,108.34,1800,17,30600,-63.34
389,4/2019,4,1,11,61,570.7,9850,573.17,9900,58,144000,-2.47
389,4/2022,4,4,11,62,42.8,680,873.7,14400,66,241200,-830.9
389,5/2022,5,4,17,82,91.5,1450,329.014,5400,62,83700,-237.514
389,6/2022,6,4,11,62,101.5,1650,261.22,4500,17.5,78750,-159.72
389,7/2022,7,4,11,61,,,493.72,8100,52.5,141750,-493.72
389,8/2022,8,4,11,61,2266.4,39200,196.56,3600,17.5,63000,2069.84
389,9/2022,9,4,11,61,222.8,3775,629.22,10800,82.5,184500,-406.42
389,10/2022,10,4,11,61,,,658.538,10800,35,189000,-658.538
389,11/2022,11,4,7,38,,,212.4,3600,46,55800,-212.4
389,12/2022,12,4,9,49,,,109.62,1800,16,28800,-109.62
389,1/2023,1,5,7,38,,,158.85,2700,14.5,39150,-158.85
389,5/2019,5,1,17,81,835.9,14300,313.02,5400,56,75600,522.88
389,2/2023,2,5,7,38,,,155.16,2700,14.5,39150,-155.16
389,3/2023,3,5,17,81,,,621.07,10800,31,163800,-621.07
389,6/2019,6,1,11,61,,,215.08,3600,16,57600,-215.08
389,7/2019,7,1,11,61,,,261.45,4500,16,72000,-261.45
389,8/2019,8,1,,,499.6,8450,,,,,499.6
389,9/2019,9,1,11,61,586.9,9950,104.85,1800,16,28800,482.05
39,7/2020,7,2,14,73,,,251.3,3000,20,60000,-251.3
39,9/2020,9,2,9,54,,,100.2,1200,23,27600,-100.2
39,12/2020,12,2,9,54,,,50.1,600,23,13800,-50.1
39,9/2019,9,1,2,9,,,497.6,6000,19,114000,-497.6
390,7/2022,7,4,11,61,,,177.96,2250,22,49500,-177.96
390,8/2019,8,1,,,79.6,1000,,,,,79.6
390,9/2019,9,1,,,106.2,1350,,,,,106.2
391,5/2021,5,3,7,38,,,204.4,2643,22,58146,-204.4
391,12/2021,12,3,,,322,3800,,,,,322
391,6/2022,6,4,7,38,,,303.5,3585,26,93210,-303.5
391,7/2022,7,4,,,303.5,3585,,,,,303.5
391,8/2019,8,1,,,204.4,2643,,,,,204.4
392,6/2020,6,2,17,82,,,149.76,3000,13,39000,-149.76
392,7/2020,7,2,,,317.7,6200,,,,,317.7
392,8/2020,8,2,2,9,1041,19800,704.17,13500,28.5,189000,336.83
392,9/2020,9,2,2,9,1706.4,33000,1999.84,38000,82,515500,-293.44
392,10/2020,10,2,2,9,1081.9,22600,1409.252,29000,67.5,391500,-327.352
392,11/2020,11,2,2,9,1571.5,31000,1233.85,24050,55,326200,337.65
392,12/2020,12,2,2,9,1725.4,34000,1415.82,28000,40.5,378000,309.58
392,1/2021,1,3,,,1220.3,24000,,,,,1220.3
392,2/2021,2,3,11,62,28.3,550,1050.904,20550,44,307700,-1022.604
392,3/2021,3,3,2,9,,,870.54,17000,13.5,229500,-870.54
392,11/2021,11,3,,,427.5,7800,,,,,427.5
392,12/2021,12,3,,,1574.3,30000,,,,,1574.3
392,1/2022,1,4,2,9,1098.4,21400,511.99,10000,14,140000,586.41
392,2/2022,2,4,,,1017.7,19000,,,,,1017.7
392,3/2022,3,4,,,296.6,5550,,,,,296.6
393,10/2019,10,1,17,82,,,250.33,6000,10,60000,-250.33
393,11/2019,11,1,17,82,,,135.69,3250,20,32500,-135.69
393,1/2020,1,2,17,82,989.2,23600,301.73,7200,20,72000,687.47
393,2/2020,2,2,17,82,272,6700,598.24,14400,40,144000,-326.24
393,6/2020,6,2,17,82,,,493.903,12000,10.5,126000,-493.903
393,11/2021,11,3,,,948.3,25500,,,,,948.3
393,12/2021,12,3,12,63,,,115.5,3000,12,36000,-115.5
393,1/2022,1,4,17,82,2159.3,59150,217.6,6000,22.5,67500,1941.7
393,2/2022,2,4,1,8,1680,43850,13.51,350,11.5,4025,1666.49
393,3/2022,3,4,,,2504.2,65000,,,,,2504.2
393,4/2022,4,4,,,447.2,10450,,,,,447.2
393,5/2022,5,4,,,192.5,5150,,,,,192.5
393,6/2022,6,4,2,9,,,4427.73,114300,66,1270950,-4427.73
393,8/2022,8,4,,,63.4,0,,,,,63.4
393,6/2019,6,1,,,1.9,50,,,,,1.9
393,8/2019,8,1,17,82,850.6,21700,246.6,6000,10,60000,604
393,9/2019,9,1,17,82,1356.2,33300,1419.064,36000,60,360000,-62.864
394,1/2021,1,3,16,78,372.7,11750,93.55,3000,11,33000,279.15
394,2/2021,2,3,1,8,,,96.6,3000,22,33000,-96.6
394,3/2021,3,3,6,15,,,163.23,5150,11,56650,-163.23
394,11/2021,11,3,1,8,,,19.32,600,11,6600,-19.32
395,2/2020,2,2,,,15.4,500,,,,,15.4
395,3/2020,3,2,,,78.2,2500,,,,,78.2
395,6/2020,6,2,1,8,504.9,16000,93.6,3000,9.75,29250,411.3
395,8/2020,8,2,1,8,479.1,14750,473.62,15000,10,150000,5.48
395,9/2020,9,2,1,8,,,487.03,15000,20.5,153750,-487.03
395,10/2020,10,2,1,8,376.3,12100,407.23,13100,21,137550,-30.93
395,11/2020,11,2,1,8,887.6,29000,872.94,28500,31.5,299250,14.66
395,12/2020,12,2,17,82,663.6,22250,358.89,12000,11,132000,304.71
395,1/2021,1,3,6,15,2438.6,78450,505.083,16500,30,168000,1933.517
395,2/2021,2,3,1,3,973.7,31900,224.85,7500,43,80250,748.85
395,3/2021,3,3,6,15,,,382.345,12850,22,141350,-382.345
395,6/2021,6,3,17,82,,,695.903,22500,31.5,236250,-695.903
395,7/2021,7,3,1,8,,,806.913,25500,29.25,248625,-806.913
395,8/2021,8,3,1,8,,,740.074,24000,53,253500,-740.074
395,9/2021,9,3,1,8,1454,49000,1459.304,48750,118,463875,-5.304
395,10/2021,10,3,17,82,440.8,14500,273.49,9000,21,94500,167.31
395,11/2021,11,3,1,8,,,26.12,900,11,9900,-26.12
395,12/2021,12,3,1,8,382.2,11700,136.55,4500,33,49500,245.65
395,1/2022,1,4,17,82,677.9,20300,246.45,7500,31.5,78750,431.45
395,2/2022,2,4,1,8,,,90.3,3000,11,33000,-90.3
395,4/2022,4,4,1,8,,,49.5,1500,11,16500,-49.5
395,5/2022,5,4,1,8,,,49.2,1500,11,16500,-49.2
395,7/2022,7,4,1,8,,,788.9,24000,21.25,247125,-788.9
395,8/2022,8,4,11,61,265.8,7750,283.27,9000,10.25,92250,-17.47
395,9/2022,9,4,1,8,666,20000,52.2,1500,11,16500,613.8
395,10/2022,10,4,,,333.4,10000,,,,,333.4
395,11/2022,11,4,,,368.7,11050,,,,,368.7
395,12/2022,12,4,1,8,167.6,5150,49.5,1500,10,15000,118.1
396,2/2021,2,3,9,51,1888.3,31301,1476.46,24300,72,437400,411.84
396,3/2021,3,3,9,51,1248.5,19961,1284.68,20700,72,372600,-36.18
396,4/2021,4,3,,,145.8,2307,,,,,145.8
396,5/2021,5,3,9,51,,,459.57,7200,18,129600,-459.57
396,7/2022,7,4,9,52,1068.4,17631,814.33,13500,19,256500,254.07
396,8/2022,8,4,9,52,707.7,11276,578.91,9000,19,171000,128.79
396,9/2022,9,4,9,52,1094.3,17680,1477.38,24075,36,433350,-383.08
396,10/2022,10,4,9,52,324.4,5400,266,4500,18,81000,58.4
396,11/2022,11,4,9,52,1017.1,16786,56.19,900,18,16200,960.91
396,12/2022,12,4,9,52,234.9,3909,1240.41,20340,36,366120,-1005.51
396,1/2023,1,5,,,304,4950,,,,,304
396,2/2023,2,5,9,52,1513.4,24662,971.4,15930,34,270810,542
396,3/2023,3,5,9,52,,,837.69,13500,34,229500,-837.69
