ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
70,50,2,5,,,178.3,1170,,,,
71,46,10,4,,,200.8,1260,,,,
71,6,6,1,,,672.6,4054,,,,
73,38,2,4,,,9,60,,,,
73,46,10,4,,,12.3,90,,,,
73,49,1,5,,,162.5,1080,,,,
74,17,5,2,,,2204.9,13290,,,,
74,42,6,4,,,4933.3,29250,,,,
74,6,6,1,,,1349.9,8190,,,,
75,25,1,3,,,2422.5,12240,,,,
75,26,2,3,,,524.5,2640,,,,
78,35,11,3,,,959.4,5550,,,,
8,34,10,3,,,101.5,840,,,,
8,46,10,4,,,24.5,210,,,,
82,35,11,3,,,395.3,2160,,,,
82,36,12,3,,,325.3,1693,,,,
84,37,1,4,,,55.4,180,,,,
85,43,7,4,,,109.9,405,,,,
85,45,9,4,,,431.1,1671,,,,
86,37,1,4,,,47.8,120,,,,
86,43,7,4,,,128.7,300,,,,
86,49,1,5,,,230.9,600,,,,
89,13,1,2,,,9.1,30,,,,
89,14,2,2,,,302.6,1050,,,,
89,25,1,3,,,414.5,1410,,,,
9,25,1,3,,,117.6,510,,,,
9,29,5,3,,,93.2,420,,,,
9,30,6,3,,,276,1260,,,,
9,46,10,4,,,85.7,360,,,,
9,50,2,5,,,105.1,450,,,,
90,28,4,3,,,113,1080,,,,
92,24,12,2,,,115.4,4000,,,,
93,46,10,4,,,27.3,630,,,,
94,24,12,2,,,407.6,9630,,,,
94,33,9,3,,,1156.8,28620,,,,
94,35,11,3,,,166.8,4115,,,,
94,37,1,4,,,152,3420,,,,
94,38,2,4,,,550.3,12870,,,,
94,39,3,4,,,952.5,23220,,,,
94,41,5,4,,,57.8,1440,,,,
94,6,6,1,,,671,15400,,,,
96,46,10,4,,,50,970,,,,
97,19,7,2,,,806,20970,,,,
97,21,9,2,,,193.8,5220,,,,
98,45,9,4,,,691.6,13200,,,,
99,39,3,4,,,35,700,,,,
99,47,11,4,,,390.7,8000,,,,
99,48,12,4,,,588.2,11686,,,,
99,49,1,5,,,1137.1,23300,,,,
99,50,2,5,,,456.3,9600,,,,
99,51,3,5,,,5.2,100,,,,
