ITEM ID,TIME ID,TIME_M ID,TIME_Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
83,44,8,4,7,24,,,345.12,1860,759,92040
83,47,11,4,7,24,,,147,780,557,53760
83,49,1,5,6,19,,,40.2,210,492,17220
83,5,5,1,7,36,,,16.7,90,195.15,5854.5
83,50,2,5,1,1,,,132.82,690,774,52440
83,51,3,5,7,24,,,11.39,60,164,4920
83,6,6,1,7,44,,,52.9,270,317.2,16356
83,7,7,1,1,6,,,208.3,1080,370.2,60606
83,8,8,1,16,79,,,42.7,240,252.15,14404.5
83,9,9,1,7,24,,,72.8,390,255.15,23854.5
84,45,9,4,10,60,,,55.3,180,90,16200
85,12,12,1,10,60,,,61.08,240,75,18000
85,14,2,2,9,56,,,7.64,30,75,2250
85,23,11,2,17,81,,,124.75,480,140,33600
85,24,12,2,7,27,,,62,240,75,18000
85,26,2,3,7,27,,,67.8,260,75,19500
85,27,3,3,7,27,,,121.2,470,75,35250
85,35,11,3,7,23,,,77.72,300,75,22500
85,42,6,4,1,8,,,50.7,210,100,21000
85,44,8,4,1,8,,,50.6,210,100,21000
85,48,12,4,7,27,,,140.1,540,75,40500
85,49,1,5,7,27,,,48.6,180,75,13500
85,50,2,5,17,81,,,137.6,540,78,42120
85,51,3,5,1,8,,,116.4,450,175,37500
85,8,8,1,17,81,,,62.7,244,65,15860
86,33,9,3,7,27,,,65.6,150,135,20250
87,32,8,3,9,57,,,550,550,140,77000
88,15,3,2,9,57,,,1046,1046,110,115060
88,26,2,3,9,57,,,825,825,127,104775
89,21,9,2,14,76,,,122.3,420,175,36000
89,23,11,2,14,76,,,176.12,600,170,51000
89,24,12,2,14,76,,,16.84,60,85,5100
89,27,3,3,14,76,,,73.26,240,85,20400
9,10,10,1,14,74,,,28.6,120,64,7680
9,11,11,1,14,74,,,21.5,90,64,5760
9,12,12,1,14,67,,,78.214,330,193,21270
9,13,1,2,14,74,,,21,90,64,5760
9,14,2,2,14,74,,,41.4,180,64,11520
9,15,3,2,14,74,,,34.5,150,64,9600
9,17,5,2,14,74,,,226.7,960,192,61440
9,18,6,2,9,54,,,57.7,240,64,15360
9,19,7,2,14,74,,,129.7,540,130,35100
9,20,8,2,14,74,,,59,240,65,15600
9,21,9,2,14,74,,,142.2,600,195,39000
9,22,10,2,14,74,,,56,240,65,15600
9,23,11,2,6,17,,,222.9,930,266,60630
